1	20.11.06	#пдата	M	M	Mc---d	2	опред
2	г	город	N	N	Ncmsgn	3	1-компл
3	предпринята	предпринять	V	V	Vmps-sfpse	0	ROOT
4	попытка	попытка	N	N	Ncfsnn	3	предик
5	установки	установка	N	N	Ncfsgn	4	1-компл
6	электрода	электрод	N	N	Ncmsgn	5	1-компл
7	в	в	S	S	Sp-a	4	2-компл
8	вену	вена	N	N	Ncfsan	7	предл
9	левого	левый	A	A	Afpmsgf	10	опред
10	желудочка	желудочек	N	N	Ncmsgn	8	квазиагент
11	(	(	-	-	-	10	PUNC
12	пунктирована	пунктировать	V	V	Vmps-sfpse	4	1-компл
13	правая	правый	A	A	Afpfsnf	15	опред
14	бедренная	бедренный	A	A	Afpfsnf	15	опред
15	вена	вена	N	N	Ncfsnn	12	предик
16	)	)	-	-	-	15	PUNC
17	,	,	,	,	,	15	PUNC
18	неудачно	неудачно	R	R	R	19	огранич
19	из-за	из-за	S	S	Sp-g	12	обст
20	анатомических	анатомический	A	A	Afpmpgf	21	опред
21	особенностей	особенность	N	N	Ncfpgn	19	предл
22	.	.	-	-	-	21	PUNC
